test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000163	XLOC_000163	CDC42	chr1:22379119-22419436	Normal	Disease	OK	133.938	155.571	0.216011	6.10814	5e-05	7.96728e-05	yes
XLOC_000166	XLOC_000166	C1QA	chr1:22963117-22966175	Normal	Disease	OK	81.761	101.026	0.305242	5.61641	5e-05	7.96728e-05	yes
XLOC_000173	XLOC_000173	C1orf213	chr1:23685940-23698330	Normal	Disease	OK	2.04629	2.80264	0.453771	1.585	0.01925	0.0245382	yes
XLOC_000175	XLOC_000175	RPL11	chr1:24018268-24022915	Normal	Disease	OK	2419.72	4077.36	0.752799	33.5623	5e-05	7.96728e-05	yes
XLOC_000177	XLOC_000177	PITHD1	chr1:24104875-24114722	Normal	Disease	OK	37.8968	43.1585	0.187568	2.87671	5e-05	7.96728e-05	yes
XLOC_000178	XLOC_000178	LYPLA2	chr1:24117645-24122029	Normal	Disease	OK	17.7739	25.8068	0.537993	5.97634	5e-05	7.96728e-05	yes
XLOC_000180	XLOC_000180	PNRC2	chr1:24286300-24289949	Normal	Disease	OK	45.4071	62.9348	0.470941	10.3561	5e-05	7.96728e-05	yes
XLOC_000186	XLOC_000186	SRRM1	chr1:24969593-24999772	Normal	Disease	OK	49.4419	124.276	1.32974	43.75	5e-05	7.96728e-05	yes
XLOC_000188	XLOC_000188	RHD	chr1:25598980-25656936	Normal	Disease	OK	0.863519	5.06163	2.5513	9.42	5e-05	7.96728e-05	yes
XLOC_000190	XLOC_000190	TMEM57	chr1:25757387-25826698	Normal	Disease	OK	17.6459	21.5344	0.287312	4.94319	5e-05	7.96728e-05	yes
XLOC_000198	XLOC_000198	ZNF593	chr1:26496387-26497364	Normal	Disease	OK	47.8947	110.814	1.2102	13.6021	5e-05	7.96728e-05	yes
XLOC_000199	XLOC_000199	CNKSR1	chr1:26503980-26516375	Normal	Disease	OK	11.1147	16.5354	0.573088	6.27984	5e-05	7.96728e-05	yes
XLOC_000202	XLOC_000202	SH3BGRL3	chr1:26606212-26608013	Normal	Disease	OK	133.781	172.384	0.365747	8.78216	5e-05	7.96728e-05	yes
XLOC_000203	XLOC_000203	CD52	chr1:26608772-26647014	Normal	Disease	OK	43.8344	56.1813	0.358026	2.8264	5e-05	7.96728e-05	yes
XLOC_000209	XLOC_000209	ARID1A	chr1:27022521-27108601	Normal	Disease	OK	29.9624	33.9182	0.178905	4.9684	5e-05	7.96728e-05	yes
XLOC_000213	XLOC_000213	NUDC	chr1:27248223-27272887	Normal	Disease	OK	85.1622	95.483	0.16503	3.39169	5e-05	7.96728e-05	yes
XLOC_000214	XLOC_000214	TRNP1	chr1:27320194-27327377	Normal	Disease	OK	6.41682	8.39317	0.387356	2.77373	0.00015	0.000231891	yes
XLOC_000218	XLOC_000218	SYTL1	chr1:27668482-27680423	Normal	Disease	OK	35.483	37.7889	0.0908317	1.41046	0.0357	0.0440699	yes
XLOC_000220	XLOC_000220	FAM76A	chr1:28052489-28089423	Normal	Disease	OK	5.76689	13.3485	1.21081	12.0385	5e-05	7.96728e-05	yes
XLOC_000224	XLOC_000224	C1orf38	chr1:28199054-28213193	Normal	Disease	OK	13.3825	17.8934	0.419081	3.64226	5e-05	7.96728e-05	yes
XLOC_000225	XLOC_000225	SMPDL3B	chr1:28261503-28285663	Normal	Disease	OK	9.4974	17.0385	0.843197	7.43617	5e-05	7.96728e-05	yes
XLOC_000227	XLOC_000227	ATPIF1	chr1:28562601-28564616	Normal	Disease	OK	176.902	304.707	0.784476	13.798	5e-05	7.96728e-05	yes
XLOC_000230	XLOC_000230	PHACTR4	chr1:28696092-28826881	Normal	Disease	OK	17.9424	20.7078	0.206804	4.17211	5e-05	7.96728e-05	yes
XLOC_000231	XLOC_000231	RCC1,SNHG3	chr1:28832454-28865708	Normal	Disease	OK	20.5577	74.8831	1.86496	31.0833	5e-05	7.96728e-05	yes
XLOC_000232	XLOC_000232	TRNAU1AP	chr1:28879528-28908366	Normal	Disease	OK	7.37803	8.54365	0.211616	1.56998	0.02525	0.0317825	yes
XLOC_000236	XLOC_000236	YTHDF2	chr1:29063132-29096287	Normal	Disease	OK	29.1814	31.7827	0.123189	2.11809	0.0017	0.00241164	yes
XLOC_000240	XLOC_000240	LOC100129196	chr1:31184123-31199593	Normal	Disease	OK	1.16536	2.01105	0.787166	2.5998	0.0007	0.00102874	yes
XLOC_000242	XLOC_000242	ZCCHC17	chr1:31769841-31837780	Normal	Disease	OK	19.9983	45.9437	1.19999	15.2092	5e-05	7.96728e-05	yes
XLOC_000249	XLOC_000249	TMEM39B	chr1:32538502-32568467	Normal	Disease	OK	12.5592	14.0842	0.165338	1.5572	0.028	0.0350414	yes
XLOC_000250	XLOC_000250	KPNA6	chr1:32573643-32642168	Normal	Disease	OK	26.6719	34.5105	0.371715	11.0699	5e-05	7.96728e-05	yes
XLOC_000252	XLOC_000252	CCDC28B	chr1:32666201-32670991	Normal	Disease	OK	4.63934	8.05082	0.795216	3.21482	0.0001	0.000156483	yes
XLOC_000253	XLOC_000253	IQCC	chr1:32671235-32674288	Normal	Disease	OK	2.44407	3.74261	0.614759	2.94012	0.00015	0.000231891	yes
XLOC_000259	XLOC_000259	TSSK3	chr1:32827861-32829924	Normal	Disease	OK	2.00245	4.92476	1.29829	4.71512	5e-05	7.96728e-05	yes
XLOC_000261	XLOC_000261	ZBTB8A	chr1:33004771-33071542	Normal	Disease	OK	2.66843	4.71686	0.821835	8.14539	5e-05	7.96728e-05	yes
XLOC_000265	XLOC_000265	HPCA	chr1:33352097-33366953	Normal	Disease	OK	0.518951	1.7859	1.78298	3.56397	5e-05	7.96728e-05	yes
XLOC_000278	XLOC_000278	NCDN	chr1:36023392-36032380	Normal	Disease	OK	12.8523	19.0623	0.568696	8.0135	5e-05	7.96728e-05	yes
XLOC_000279	XLOC_000279	TFAP2E	chr1:36038970-36060927	Normal	Disease	OK	0.316655	1.53893	2.28095	4.72413	5e-05	7.96728e-05	yes
XLOC_000283	XLOC_000283	TEKT2	chr1:36549675-36553876	Normal	Disease	OK	1.16237	1.81712	0.644574	1.76916	0.0154	0.0198463	yes
XLOC_000286	XLOC_000286	THRAP3	chr1:36690016-36770957	Normal	Disease	OK	64.9623	67.7473	0.0605603	2.0572	0.0032	0.00441746	yes
XLOC_000290	XLOC_000290	DNALI1	chr1:38022519-38061586	Normal	Disease	OK	21.3207	25.6129	0.264615	3.8559	5e-05	7.96728e-05	yes
XLOC_000292	XLOC_000292	MANEAL	chr1:38259773-38267278	Normal	Disease	OK	4.33076	5.41602	0.322614	2.22789	0.002	0.00281652	yes
XLOC_000293	XLOC_000293	C1orf122	chr1:38268613-38275126	Normal	Disease	OK	20.0884	42.2265	1.07178	11.1528	5e-05	7.96728e-05	yes
XLOC_000294	XLOC_000294	UTP11L	chr1:38478383-38490497	Normal	Disease	OK	14.3971	23.8547	0.728499	8.50322	5e-05	7.96728e-05	yes
XLOC_000297	XLOC_000297	NDUFS5	chr1:39491966-39500308	Normal	Disease	OK	261.232	352.294	0.431448	8.77862	5e-05	7.96728e-05	yes
XLOC_000300	XLOC_000300	BMP8A	chr1:39957317-40025370	Normal	Disease	OK	4.13103	6.42645	0.63752	6.5688	5e-05	7.96728e-05	yes
XLOC_000303	XLOC_000303	CAP1	chr1:40506254-40538321	Normal	Disease	OK	94.2293	99.9031	0.0843541	2.40471	0.0003	0.000453706	yes
XLOC_000304	XLOC_000304	RLF	chr1:40627040-40706593	Normal	Disease	OK	5.09443	6.00515	0.237279	2.7557	0.00015	0.000231891	yes
XLOC_000306	XLOC_000306	ZMPSTE24	chr1:40723732-40759856	Normal	Disease	OK	23.0812	34.132	0.564409	10.3377	5e-05	7.96728e-05	yes
XLOC_000315	XLOC_000315	KCNQ4	chr1:41249683-41306124	Normal	Disease	OK	0.965831	1.80169	0.899505	3.88085	5e-05	7.96728e-05	yes
XLOC_000316	XLOC_000316	CTPS	chr1:41445006-41478235	Normal	Disease	OK	9.31711	10.2686	0.140282	1.53186	0.0305	0.0379985	yes
XLOC_000317	XLOC_000317	LOC100507178	chr1:41480261-41707815	Normal	Disease	OK	0.277043	2.30546	3.05687	8.97529	5e-05	7.96728e-05	yes
XLOC_000319	XLOC_000319	RIMKLA	chr1:42846467-42889900	Normal	Disease	OK	0.554148	0.903856	0.70582	3.81446	5e-05	7.96728e-05	yes
XLOC_000320	XLOC_000320	PPCS	chr1:42922172-42926086	Normal	Disease	OK	50.2382	56.0429	0.157746	2.14785	0.00185	0.0026147	yes
XLOC_000321	XLOC_000321	CCDC30	chr1:43000559-43120335	Normal	Disease	OK	1.10393	2.06308	0.902145	3.70215	5e-05	7.96728e-05	yes
XLOC_000324	XLOC_000324	C1orf50	chr1:43232915-43241413	Normal	Disease	OK	12.8536	19.1091	0.57208	3.89657	5e-05	7.96728e-05	yes
XLOC_000326	XLOC_000326	ERMAP	chr1:43272722-43310660	Normal	Disease	OK	7.74305	8.92111	0.204323	2.07833	0.0033	0.00455262	yes
XLOC_000328	XLOC_000328	FLJ32224	chr1:43391045-43449029	Normal	Disease	OK	1.06001	3.84462	1.85876	4.59267	5e-05	7.96728e-05	yes
XLOC_000331	XLOC_000331	TMEM125	chr1:43735664-43739673	Normal	Disease	OK	20.9823	32.3002	0.622369	7.96335	5e-05	7.96728e-05	yes
XLOC_000333	XLOC_000333	MPL	chr1:43803474-43820135	Normal	Disease	OK	0.693842	1.1723	0.756658	2.6266	0.00055	0.000816324	yes
XLOC_000338	XLOC_000338	ST3GAL3	chr1:44173217-44396831	Normal	Disease	OK	9.69939	13.7887	0.507523	4.52706	5e-05	7.96728e-05	yes
XLOC_000339	XLOC_000339	ARTN	chr1:44398991-44402912	Normal	Disease	OK	0.826724	2.07928	1.33061	3.64172	5e-05	7.96728e-05	yes
XLOC_000340	XLOC_000340	IPO13	chr1:44412477-44433694	Normal	Disease	OK	13.3465	14.3689	0.106488	1.56063	0.02525	0.0317825	yes
XLOC_000341	XLOC_000341	DPH2	chr1:44435652-44439043	Normal	Disease	OK	9.56925	11.0351	0.205623	1.82696	0.00895	0.0118076	yes
XLOC_000342	XLOC_000342	ATP6V0B	chr1:44440601-44443972	Normal	Disease	OK	124.409	284.364	1.19264	26.7231	5e-05	7.96728e-05	yes
XLOC_000344	XLOC_000344	CCDC24	chr1:44457279-44497134	Normal	Disease	OK	7.83935	13.6704	0.802252	5.70783	5e-05	7.96728e-05	yes
XLOC_000346	XLOC_000346	DMAP1	chr1:44679124-44686351	Normal	Disease	OK	23.0971	36.8281	0.673094	8.41328	5e-05	7.96728e-05	yes
XLOC_000348	XLOC_000348	C1orf228	chr1:45140393-45191263	Normal	Disease	OK	0.875226	2.85646	1.7065	4.86227	5e-05	7.96728e-05	yes
XLOC_000350	XLOC_000350	RPS8	chr1:45241245-45244412	Normal	Disease	OK	857.293	1645.69	0.940834	32.3244	5e-05	7.96728e-05	yes
XLOC_000355	XLOC_000355	PLK3	chr1:45266035-45272957	Normal	Disease	OK	9.02354	10.8922	0.271537	2.49125	0.00055	0.000816324	yes
XLOC_000356	XLOC_000356	BTBD19	chr1:45274153-45279801	Normal	Disease	OK	0.652727	2.11387	1.69534	3.98775	5e-05	7.96728e-05	yes
XLOC_000362	XLOC_000362	AKR1A1	chr1:46016454-46035723	Normal	Disease	OK	79.0294	92.9042	0.233355	4.73305	5e-05	7.96728e-05	yes
XLOC_000363	XLOC_000363	NASP	chr1:46049659-46084578	Normal	Disease	OK	15.4202	25.7428	0.739345	9.45132	5e-05	7.96728e-05	yes
XLOC_000364	XLOC_000364	TMEM69	chr1:46153846-46216485	Normal	Disease	OK	19.6397	32.3312	0.719158	7.92074	5e-05	7.96728e-05	yes
XLOC_000365	XLOC_000365	MAST2	chr1:46269284-46501796	Normal	Disease	OK	12.7434	23.1257	0.859744	16.6252	5e-05	7.96728e-05	yes
XLOC_000369	XLOC_000369	UQCRH	chr1:46769379-46782447	Normal	Disease	OK	283.001	416.074	0.556035	12.0684	5e-05	7.96728e-05	yes
XLOC_000371	XLOC_000371	FAAH	chr1:46859938-46879520	Normal	Disease	OK	52.1313	72.5912	0.477644	10.4228	5e-05	7.96728e-05	yes
XLOC_000372	XLOC_000372	LOC729041	chr1:46899498-46911374	Normal	Disease	OK	0.752818	1.5987	1.08652	2.31521	0.00555	0.00748727	yes
XLOC_000381	XLOC_000381	CMPK1	chr1:47799468-47844511	Normal	Disease	OK	66.3384	75.4257	0.185212	4.56968	5e-05	7.96728e-05	yes
XLOC_000390	XLOC_000390	BTF3L4	chr1:52521856-52556388	Normal	Disease	OK	10.7502	13.3235	0.309612	4.25925	5e-05	7.96728e-05	yes
XLOC_000394	XLOC_000394	FAM159A	chr1:53099065-53122737	Normal	Disease	OK	0.616531	1.61594	1.39013	1.67528	0.0383	0.047085	yes
XLOC_000395	XLOC_000395	ZYG11B	chr1:53192130-53293013	Normal	Disease	OK	8.29617	10.0597	0.278075	4.7762	5e-05	7.96728e-05	yes
XLOC_000399	XLOC_000399	CPT2	chr1:53662100-53686289	Normal	Disease	OK	10.3539	14.3056	0.466413	5.4026	5e-05	7.96728e-05	yes
XLOC_000404	XLOC_000404	TCEANC2	chr1:54519273-54565416	Normal	Disease	OK	2.09586	2.51515	0.2631	1.57103	0.02495	0.0314204	yes
XLOC_000406	XLOC_000406	MRPL37	chr1:54665839-54684056	Normal	Disease	OK	46.6929	67.4236	0.530048	9.04427	5e-05	7.96728e-05	yes
XLOC_000408	XLOC_000408	HEATR8,HEATR8-TTC4,TTC4	chr1:55107426-55208328	Normal	Disease	OK	14.4974	15.8233	0.126256	1.47481	0.02865	0.0358284	yes
XLOC_000413	XLOC_000413	LOC100507634	chr1:55681080-55683128	Normal	Disease	OK	0.43748	1.08914	1.3159	2.87515	0.00125	0.00179515	yes
XLOC_000415	XLOC_000415	PRKAA2	chr1:57110989-57181008	Normal	Disease	OK	2.64427	6.13507	1.21421	14.2987	5e-05	7.96728e-05	yes
XLOC_000419	XLOC_000419	HOOK1	chr1:60280532-60342050	Normal	Disease	OK	2.77158	3.95874	0.514333	4.45096	5e-05	7.96728e-05	yes
XLOC_000420	XLOC_000420	NFIA	chr1:61542945-61928460	Normal	Disease	OK	27.07	46.5582	0.782338	24.699	5e-05	7.96728e-05	yes
XLOC_000423	XLOC_000423	USP1	chr1:62901974-62917475	Normal	Disease	OK	8.1211	14.1904	0.805173	9.37697	5e-05	7.96728e-05	yes
XLOC_000425	XLOC_000425	ATG4C	chr1:63249776-63330941	Normal	Disease	OK	3.69233	5.3686	0.540016	3.56957	5e-05	7.96728e-05	yes
XLOC_000427	XLOC_000427	ALG6	chr1:63833260-63904233	Normal	Disease	OK	2.74382	5.58783	1.0261	7.11118	5e-05	7.96728e-05	yes
XLOC_000440	XLOC_000440	SGIP1	chr1:66999824-67210768	Normal	Disease	OK	1.91892	3.58113	0.900116	6.02914	5e-05	7.96728e-05	yes
XLOC_000443	XLOC_000443	MIER1	chr1:67390577-67454302	Normal	Disease	OK	8.38428	13.9128	0.730653	9.65187	5e-05	7.96728e-05	yes
XLOC_000450	XLOC_000450	SRSF11	chr1:70671364-70717701	Normal	Disease	OK	54.5143	300.347	2.46192	70.4632	5e-05	7.96728e-05	yes
XLOC_000451	XLOC_000451	HHLA3	chr1:70820492-70833705	Normal	Disease	OK	27.1758	38.248	0.493063	4.40204	5e-05	7.96728e-05	yes
XLOC_000456	XLOC_000456	TYW3	chr1:75171171-75232360	Normal	Disease	OK	5.5881	9.1116	0.705348	6.63965	5e-05	7.96728e-05	yes
XLOC_000459	XLOC_000459	RABGGTB	chr1:76251885-76260764	Normal	Disease	OK	14.501	41.2911	1.50968	15.7828	5e-05	7.96728e-05	yes
XLOC_000465	XLOC_000465	ST6GALNAC5	chr1:77333185-77529737	Normal	Disease	OK	0.735444	3.45851	2.23346	6.67038	5e-05	7.96728e-05	yes
XLOC_000467	XLOC_000467	FAM73A	chr1:78245308-78344081	Normal	Disease	OK	5.79885	10.2342	0.819559	10.0995	5e-05	7.96728e-05	yes
XLOC_000468	XLOC_000468	NEXN	chr1:78354199-78409578	Normal	Disease	OK	12.1748	56.2071	2.20686	34.1803	5e-05	7.96728e-05	yes
XLOC_000472	XLOC_000472	PTGFR	chr1:78956727-79006386	Normal	Disease	OK	0.192583	1.34961	2.80899	7.18086	5e-05	7.96728e-05	yes
XLOC_000473	XLOC_000473	IFI44L	chr1:79086087-79111830	Normal	Disease	OK	4.68248	17.5697	1.90774	24.9662	5e-05	7.96728e-05	yes
XLOC_000474	XLOC_000474	IFI44	chr1:79115476-79129763	Normal	Disease	OK	4.84737	20.4381	2.07599	14.5418	5e-05	7.96728e-05	yes
XLOC_000476	XLOC_000476	PRKACB	chr1:84543744-84704181	Normal	Disease	OK	14.9533	17.7565	0.247888	3.74874	5e-05	7.96728e-05	yes
XLOC_000477	XLOC_000477	SAMD13	chr1:84764048-84816481	Normal	Disease	OK	1.65003	4.11127	1.31709	4.48678	5e-05	7.96728e-05	yes
XLOC_000478	XLOC_000478	DNASE2B	chr1:84864214-84880691	Normal	Disease	OK	0.76852	3.10504	2.01446	3.9944	5e-05	7.96728e-05	yes
XLOC_000479	XLOC_000479	RPF1	chr1:84944919-84972262	Normal	Disease	OK	20.8429	34.428	0.724027	9.58521	5e-05	7.96728e-05	yes
XLOC_000483	XLOC_000483	CYR61	chr1:86046443-86049648	Normal	Disease	OK	219.328	266.809	0.282715	12.7164	5e-05	7.96728e-05	yes
XLOC_000491	XLOC_000491	LMO4	chr1:87794150-87814607	Normal	Disease	OK	17.4235	35.0971	1.01032	22.6042	5e-05	7.96728e-05	yes
XLOC_000497	XLOC_000497	LRRC8D	chr1:90286572-90401989	Normal	Disease	OK	4.6584	5.33671	0.196117	1.64772	0.0192	0.0244806	yes
XLOC_000498	XLOC_000498	ZNF326	chr1:90460677-90494094	Normal	Disease	OK	5.19308	15.9515	1.61903	14.0094	5e-05	7.96728e-05	yes
XLOC_000499	XLOC_000499	CDC7	chr1:91966403-91991321	Normal	Disease	OK	1.11721	1.95311	0.805872	3.27554	5e-05	7.96728e-05	yes
XLOC_000504	XLOC_000504	KIAA1107	chr1:92632608-92650280	Normal	Disease	OK	1.03638	1.58079	0.609093	2.88056	0.0002	0.000306269	yes
XLOC_000506	XLOC_000506	RPAP2	chr1:92711954-92853732	Normal	Disease	OK	3.28049	6.46759	0.979315	6.96866	5e-05	7.96728e-05	yes
XLOC_000507	XLOC_000507	RPL5	chr1:93297593-93427079	Normal	Disease	OK	818.35	1250.64	0.611881	22.7721	5e-05	7.96728e-05	yes
XLOC_000510	XLOC_000510	MTF2	chr1:93544791-93604638	Normal	Disease	OK	4.42302	11.5961	1.39054	13.6583	5e-05	7.96728e-05	yes
XLOC_000511	XLOC_000511	CCDC18	chr1:93646280-93744287	Normal	Disease	OK	0.175536	1.03683	2.56234	5.67347	5e-05	7.96728e-05	yes
XLOC_000516	XLOC_000516	ABCD3	chr1:94883932-94984219	Normal	Disease	OK	11.0368	13.5678	0.297861	3.60802	5e-05	7.96728e-05	yes
XLOC_000519	XLOC_000519	RWDD3,TMEM56,TMEM56-RWDD3	chr1:95558072-95712781	Normal	Disease	OK	5.80293	9.3296	0.685034	4.16558	5e-05	7.96728e-05	yes
XLOC_000521	XLOC_000521	PTBP2	chr1:97187174-97280605	Normal	Disease	OK	4.52814	7.69135	0.764318	6.64907	5e-05	7.96728e-05	yes
XLOC_000527	XLOC_000527	AGL	chr1:100315639-100389579	Normal	Disease	OK	3.67221	4.59835	0.324469	3.46267	5e-05	7.96728e-05	yes
XLOC_000530	XLOC_000530	CCDC76	chr1:100598705-100643829	Normal	Disease	OK	3.06745	6.68889	1.12473	7.88736	5e-05	7.96728e-05	yes
XLOC_000531	XLOC_000531	RTCD1	chr1:100731713-100758325	Normal	Disease	OK	10.9617	16.8493	0.620219	6.88669	5e-05	7.96728e-05	yes
XLOC_000536	XLOC_000536	SLC30A7	chr1:101361631-101447311	Normal	Disease	OK	6.33863	10.2004	0.686378	10.5899	5e-05	7.96728e-05	yes
XLOC_000539	XLOC_000539	AMY2B,RNPC3	chr1:104068577-104122149	Normal	Disease	OK	5.43973	36.648	2.75213	22.3079	5e-05	7.96728e-05	yes
XLOC_000545	XLOC_000545	PRMT6	chr1:107599266-107601916	Normal	Disease	OK	10.3621	14.3557	0.470309	5.15217	5e-05	7.96728e-05	yes
XLOC_000546	XLOC_000546	NTNG1	chr1:107682628-108024475	Normal	Disease	OK	2.95128	9.35301	1.66409	11.6657	5e-05	7.96728e-05	yes
XLOC_000549	XLOC_000549	PRPF38B	chr1:109234931-109244422	Normal	Disease	OK	22.0589	86.7428	1.97538	40.4929	5e-05	7.96728e-05	yes
XLOC_000551	XLOC_000551	STXBP3	chr1:109289284-109352148	Normal	Disease	OK	11.3509	15.9475	0.490527	5.48504	5e-05	7.96728e-05	yes
XLOC_000557	XLOC_000557	SARS	chr1:109756514-109780804	Normal	Disease	OK	91.1188	94.8115	0.0573138	1.31663	0.0343	0.0424655	yes
XLOC_000560	XLOC_000560	ATXN7L2	chr1:110026560-110035420	Normal	Disease	OK	0.968768	2.94124	1.6022	5.75579	5e-05	7.96728e-05	yes
XLOC_000563	XLOC_000563	GNAI3	chr1:110091185-110138452	Normal	Disease	OK	12.1899	17.7803	0.544597	8.87909	5e-05	7.96728e-05	yes
XLOC_000567	XLOC_000567	GSTM2	chr1:110210643-110226619	Normal	Disease	OK	8.01649	19.6187	1.29119	8.74223	5e-05	7.96728e-05	yes
XLOC_000569	XLOC_000569	GSTM5	chr1:110254863-110260890	Normal	Disease	OK	24.153	31.3197	0.374867	4.63231	5e-05	7.96728e-05	yes
XLOC_000571	XLOC_000571	AHCYL1	chr1:110527386-110566364	Normal	Disease	OK	56.1072	77.8601	0.472698	12.8408	5e-05	7.96728e-05	yes
