test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000551	XLOC_000551	STXBP3	chr1:109289284-109352148	Normal	Disease	OK	11.3509	15.9475	0.490527	5.48504	5e-05	7.96728e-05	yes
XLOC_000557	XLOC_000557	SARS	chr1:109756514-109780804	Normal	Disease	OK	91.1188	94.8115	0.0573138	1.31663	0.0343	0.0424655	yes
XLOC_000560	XLOC_000560	ATXN7L2	chr1:110026560-110035420	Normal	Disease	OK	0.968768	2.94124	1.6022	5.75579	5e-05	7.96728e-05	yes
XLOC_000563	XLOC_000563	GNAI3	chr1:110091185-110138452	Normal	Disease	OK	12.1899	17.7803	0.544597	8.87909	5e-05	7.96728e-05	yes
XLOC_000567	XLOC_000567	GSTM2	chr1:110210643-110226619	Normal	Disease	OK	8.01649	19.6187	1.29119	8.74223	5e-05	7.96728e-05	yes
XLOC_000569	XLOC_000569	GSTM5	chr1:110254863-110260890	Normal	Disease	OK	24.153	31.3197	0.374867	4.63231	5e-05	7.96728e-05	yes
XLOC_000571	XLOC_000571	AHCYL1	chr1:110527386-110566364	Normal	Disease	OK	56.1072	77.8601	0.472698	12.8408	5e-05	7.96728e-05	yes
XLOC_000580	XLOC_000580	CEPT1	chr1:111659953-111727724	Normal	Disease	OK	15.429	20.0088	0.374991	4.36587	5e-05	7.96728e-05	yes
XLOC_000586	XLOC_000586	C1orf162	chr1:112016603-112021134	Normal	Disease	OK	8.58735	17.3789	1.01705	5.95825	5e-05	7.96728e-05	yes
XLOC_000591	XLOC_000591	WNT2B	chr1:113010039-113063910	Normal	Disease	OK	2.17515	2.95606	0.442557	1.95455	0.0062	0.00831705	yes
XLOC_000592	XLOC_000592	CAPZA1	chr1:113162074-113214241	Normal	Disease	OK	33.0229	39.5787	0.261256	5.07706	5e-05	7.96728e-05	yes
XLOC_000614	XLOC_000614	MAN1A2	chr1:117910084-118068320	Normal	Disease	OK	12.6252	20.3517	0.688846	12.5538	5e-05	7.96728e-05	yes
XLOC_000637	XLOC_000637	ITGA10	chr1:145524989-145543868	Normal	Disease	OK	0.408946	1.23536	1.59494	5.66018	5e-05	7.96728e-05	yes
XLOC_000641	XLOC_000641	PDZK1	chr1:145727665-145764206	Normal	Disease	OK	0.105833	0.746737	2.81881	2.30755	0.0011	0.00158661	yes
XLOC_000644	XLOC_000644	CHD1L	chr1:146714290-146767447	Normal	Disease	OK	11.1545	23.8099	1.09394	13.261	5e-05	7.96728e-05	yes
XLOC_000648	XLOC_000648	NBPF15,NBPF16	chr1:148558187-148596267	Normal	Disease	OK	1.10703	3.00786	1.44205	7.24038	5e-05	7.96728e-05	yes
XLOC_000653	XLOC_000653	LOC388692	chr1:149279475-149291742	Normal	Disease	OK	2.22763	7.12798	1.67798	21.6444	5e-05	7.96728e-05	yes
XLOC_000661	XLOC_000661	HIST2H2AC	chr1:149858524-149858961	Normal	Disease	OK	4.46878	9.30798	1.05859	2.62496	0.00135	0.00193094	yes
XLOC_000663	XLOC_000663	VPS45	chr1:150039341-150117505	Normal	Disease	OK	12.6991	17.4973	0.462414	5.78969	5e-05	7.96728e-05	yes
XLOC_000664	XLOC_000664	PLEKHO1	chr1:150122169-150131825	Normal	Disease	OK	41.3111	47.9962	0.216392	3.48478	5e-05	7.96728e-05	yes
XLOC_000666	XLOC_000666	C1orf54	chr1:150245182-150253335	Normal	Disease	OK	14.1154	21.4159	0.601409	2.92407	5e-05	7.96728e-05	yes
XLOC_000667	XLOC_000667	C1orf51	chr1:150255228-150259501	Normal	Disease	OK	1.71551	2.70348	0.65618	2.39005	0.00135	0.00193094	yes
XLOC_000668	XLOC_000668	MRPS21	chr1:150266268-150280819	Normal	Disease	OK	119.287	230.757	0.951931	13.8464	5e-05	7.96728e-05	yes
XLOC_000669	XLOC_000669	PRPF3	chr1:150293927-150325704	Normal	Disease	OK	17.176	24.9354	0.5378	7.35833	5e-05	7.96728e-05	yes
XLOC_000679	XLOC_000679	C1orf56	chr1:151020258-151032125	Normal	Disease	OK	9.02015	11.3072	0.326013	2.56865	0.00015	0.000231891	yes
XLOC_000684	XLOC_000684	PSMD4	chr1:151227196-151239954	Normal	Disease	OK	46.6779	56.827	0.283836	4.38266	5e-05	7.96728e-05	yes
XLOC_000686	XLOC_000686	PSMB4	chr1:151372040-151374412	Normal	Disease	OK	219.335	251.144	0.195383	5.2189	5e-05	7.96728e-05	yes
XLOC_000723	XLOC_000723	CHTOP	chr1:153591275-153618782	Normal	Disease	OK	28.6806	33.4983	0.224012	3.39254	5e-05	7.96728e-05	yes
XLOC_000726	XLOC_000726	INTS3	chr1:153700566-153746555	Normal	Disease	OK	18.7335	27.8084	0.569897	11.2851	5e-05	7.96728e-05	yes
XLOC_000727	XLOC_000727	SLC27A3	chr1:153747767-153752633	Normal	Disease	OK	7.52043	9.81374	0.383989	3.37405	5e-05	7.96728e-05	yes
XLOC_000731	XLOC_000731	HAX1	chr1:154245038-154248355	Normal	Disease	OK	88.378	106.286	0.266199	4.88267	5e-05	7.96728e-05	yes
XLOC_000735	XLOC_000735	TDRD10	chr1:154474694-154520623	Normal	Disease	OK	0.309135	1.77725	2.52333	5.33925	5e-05	7.96728e-05	yes
XLOC_000739	XLOC_000739	FLAD1	chr1:154955769-154965587	Normal	Disease	OK	16.7452	20.4133	0.285765	3.09549	5e-05	7.96728e-05	yes
XLOC_000747	XLOC_000747	SLC50A1	chr1:155108287-155111334	Normal	Disease	OK	48.5562	93.8506	0.950711	15.725	5e-05	7.96728e-05	yes
XLOC_000748	XLOC_000748	TRIM46	chr1:155146262-155157447	Normal	Disease	OK	0.275559	0.69509	1.33484	2.23879	0.0003	0.000453706	yes
XLOC_000751	XLOC_000751	HCN3	chr1:155247373-155271225	Normal	Disease	OK	1.28246	2.39538	0.901342	4.36513	5e-05	7.96728e-05	yes
XLOC_000753	XLOC_000753	RUSC1	chr1:155278538-155300909	Normal	Disease	OK	22.3787	28.4423	0.345911	4.73253	5e-05	7.96728e-05	yes
XLOC_000755	XLOC_000755	LOC645676	chr1:155305051-155533735	Normal	Disease	OK	0.805837	1.35185	0.746375	1.98094	0.00675	0.0090215	yes
XLOC_000756	XLOC_000756	MSTO1	chr1:155579960-155584758	Normal	Disease	OK	2.89012	5.8488	1.01701	5.87034	5e-05	7.96728e-05	yes
XLOC_000758	XLOC_000758	MSTO2P	chr1:155715608-155826972	Normal	Disease	OK	0.380362	1.27085	1.74035	3.51884	0.0001	0.000156483	yes
XLOC_000761	XLOC_000761	LAMTOR2	chr1:156024516-156028301	Normal	Disease	OK	74.8607	112.753	0.590888	7.62241	5e-05	7.96728e-05	yes
XLOC_000766	XLOC_000766	BGLAP,PMF1,PMF1-BGLAP	chr1:156182778-156213123	Normal	Disease	OK	58.6865	113.266	0.948611	14.3233	5e-05	7.96728e-05	yes
XLOC_000768	XLOC_000768	C1orf182	chr1:156278751-156316785	Normal	Disease	OK	0.319986	1.33336	2.05898	2.00754	0.01235	0.0160761	yes
XLOC_000771	XLOC_000771	APOA1BP	chr1:156561557-156564091	Normal	Disease	OK	106.437	149.977	0.494748	10.8347	5e-05	7.96728e-05	yes
XLOC_000772	XLOC_000772	HAPLN2	chr1:156589085-156595517	Normal	Disease	OK	0.970538	1.51656	0.643946	1.76743	0.0154	0.0198463	yes
XLOC_000775	XLOC_000775	PRCC	chr1:156737273-156770609	Normal	Disease	OK	41.145	49.2065	0.25813	4.86178	5e-05	7.96728e-05	yes
XLOC_000791	XLOC_000791	IFI16	chr1:158979681-159024945	Normal	Disease	OK	22.7955	26.3792	0.210649	3.25639	5e-05	7.96728e-05	yes
XLOC_000804	XLOC_000804	CASQ1	chr1:160160284-160171676	Normal	Disease	OK	0.919336	1.73792	0.918701	2.71968	0.00045	0.000672419	yes
XLOC_000806	XLOC_000806	SUMO1P3	chr1:160258376-160328742	Normal	Disease	OK	12.3648	23.4275	0.921964	7.45928	5e-05	7.96728e-05	yes
XLOC_000811	XLOC_000811	LY9	chr1:160765927-160798045	Normal	Disease	OK	3.8503	5.6333	0.549011	2.84334	0.00015	0.000231891	yes
XLOC_000816	XLOC_000816	PPOX	chr1:161136180-161141010	Normal	Disease	OK	5.27289	8.55562	0.698279	4.44952	5e-05	7.96728e-05	yes
XLOC_000818	XLOC_000818	FCER1G	chr1:161185086-161189038	Normal	Disease	OK	72.6149	94.0193	0.372691	4.32746	5e-05	7.96728e-05	yes
XLOC_000823	XLOC_000823	HSPA6	chr1:161494035-161496687	Normal	Disease	OK	1.63382	3.16726	0.954982	4.41022	5e-05	7.96728e-05	yes
XLOC_000824	XLOC_000824	FCGR2C	chr1:161551128-161570032	Normal	Disease	OK	0.683235	2.26968	1.73203	4.09419	5e-05	7.96728e-05	yes
XLOC_000825	XLOC_000825	HSPA7	chr1:161575848-161578341	Normal	Disease	OK	0.863342	5.04591	2.54711	9.32409	5e-05	7.96728e-05	yes
XLOC_000839	XLOC_000839	RGS4	chr1:163038395-163046592	Normal	Disease	OK	1.42044	2.64371	0.896228	4.17581	5e-05	7.96728e-05	yes
XLOC_000848	XLOC_000848	MAEL	chr1:166958518-166991447	Normal	Disease	OK	0.38068	1.16689	1.61601	2.99033	0.00015	0.000231891	yes
XLOC_000850	XLOC_000850	POU2F1	chr1:167190065-167396582	Normal	Disease	OK	5.21875	5.59325	0.0999822	1.70269	0.01365	0.0176943	yes
XLOC_000856	XLOC_000856	TBX19	chr1:168250277-168283664	Normal	Disease	OK	1.40833	2.56407	0.864446	3.79005	5e-05	7.96728e-05	yes
XLOC_000869	XLOC_000869	FMO2	chr1:171154387-171181822	Normal	Disease	OK	3.01954	4.02861	0.415954	3.47089	5e-05	7.96728e-05	yes
XLOC_000872	XLOC_000872	PRRC2C	chr1:171454665-171562650	Normal	Disease	OK	47.9746	73.9148	0.623591	30.3135	5e-05	7.96728e-05	yes
XLOC_000881	XLOC_000881	KLHL20	chr1:173684079-173755840	Normal	Disease	OK	9.21371	16.0816	0.803555	10.0254	5e-05	7.96728e-05	yes
XLOC_000885	XLOC_000885	RABGAP1L	chr1:174128551-174964445	Normal	Disease	OK	8.00575	14.4994	0.856888	6.84121	5e-05	7.96728e-05	yes
XLOC_000891	XLOC_000891	RASAL2	chr1:178060642-178448648	Normal	Disease	OK	2.43368	3.24979	0.417208	4.36683	5e-05	7.96728e-05	yes
XLOC_000903	XLOC_000903	CEP350	chr1:179923907-180084015	Normal	Disease	OK	3.53718	3.87545	0.131767	1.85748	0.009	0.0118715	yes
XLOC_000915	XLOC_000915	NPL	chr1:182758583-182799519	Normal	Disease	OK	1.33592	2.49804	0.902967	3.64564	5e-05	7.96728e-05	yes
XLOC_000924	XLOC_000924	SWT1	chr1:185087217-185260913	Normal	Disease	OK	2.0465	2.51759	0.298886	1.7097	0.01425	0.0184375	yes
XLOC_000927	XLOC_000927	C1orf27	chr1:185703682-186446655	Normal	Disease	OK	8.04412	13.6557	0.763495	9.14464	5e-05	7.96728e-05	yes
XLOC_000933	XLOC_000933	RGS1	chr1:192544856-192549159	Normal	Disease	OK	20.7348	62.2904	1.58696	19.7078	5e-05	7.96728e-05	yes
XLOC_000935	XLOC_000935	RGS2	chr1:192778168-192781407	Normal	Disease	OK	46.9277	97.7258	1.0583	18.3319	5e-05	7.96728e-05	yes
XLOC_000936	XLOC_000936	TROVE2	chr1:192981495-193060906	Normal	Disease	OK	7.55448	26.0381	1.78522	19.2825	5e-05	7.96728e-05	yes
XLOC_000939	XLOC_000939	CFH	chr1:196621007-196716634	Normal	Disease	OK	11.9636	14.9798	0.324373	3.73235	5e-05	7.96728e-05	yes
XLOC_000941	XLOC_000941	CFHR1	chr1:196788860-196801319	Normal	Disease	OK	0.976714	2.90809	1.57406	4.03156	5e-05	7.96728e-05	yes
XLOC_000946	XLOC_000946	C1orf53	chr1:197871681-197876497	Normal	Disease	OK	2.90306	5.14576	0.825807	2.27295	0.003	0.00415303	yes
XLOC_000952	XLOC_000952	CAMSAP2	chr1:200708685-200829831	Normal	Disease	OK	5.20966	6.43402	0.304533	3.94752	5e-05	7.96728e-05	yes
XLOC_000957	XLOC_000957	RPS10P7	chr1:201489031-201489720	Normal	Disease	OK	2.86861	18.5426	2.69242	8.63354	5e-05	7.96728e-05	yes
XLOC_000958	XLOC_000958	NAV1	chr1:201617449-201796102	Normal	Disease	OK	5.54467	6.87677	0.310628	5.05507	5e-05	7.96728e-05	yes
XLOC_000960	XLOC_000960	IPO9	chr1:201798287-201853422	Normal	Disease	OK	9.18621	10.5763	0.2033	4.33464	5e-05	7.96728e-05	yes
XLOC_000962	XLOC_000962	TIMM17A	chr1:201924618-201939789	Normal	Disease	OK	14.8032	21.9293	0.566954	5.81787	5e-05	7.96728e-05	yes
XLOC_000963	XLOC_000963	RNPEP	chr1:201951765-201975275	Normal	Disease	OK	45.7527	49.0687	0.100948	2.10411	0.0027	0.00375615	yes
XLOC_000964	XLOC_000964	ELF3	chr1:201979689-201986315	Normal	Disease	OK	81.3458	112.388	0.466347	12.9878	5e-05	7.96728e-05	yes
XLOC_000969	XLOC_000969	KDM5B-AS1	chr1:202780073-202781041	Normal	Disease	OK	4.2337	11.5798	1.45162	5.15479	5e-05	7.96728e-05	yes
XLOC_000972	XLOC_000972	TMEM183A	chr1:202976533-202993197	Normal	Disease	OK	7.94387	11.447	0.527053	4.64069	5e-05	7.96728e-05	yes
XLOC_000975	XLOC_000975	BTG2	chr1:203274663-203278729	Normal	Disease	OK	206.112	216.942	0.0738784	3.40294	5e-05	7.96728e-05	yes
XLOC_000980	XLOC_000980	LINC00260	chr1:203595914-203713209	Normal	Disease	OK	0.37365	5.03682	3.75275	6.22715	5e-05	7.96728e-05	yes
XLOC_000982	XLOC_000982	ZC3H11A	chr1:203764750-203823256	Normal	Disease	OK	28.6521	34.0768	0.250149	5.40188	5e-05	7.96728e-05	yes
XLOC_000986	XLOC_000986	MDM4	chr1:204485506-204527248	Normal	Disease	OK	6.63797	16.0131	1.27044	23.249	5e-05	7.96728e-05	yes
XLOC_001024	XLOC_001024	TRAF5	chr1:211499956-211548286	Normal	Disease	OK	4.40397	10.3927	1.23869	11.8694	5e-05	7.96728e-05	yes
XLOC_001025	XLOC_001025	LINC00467	chr1:211556096-211605877	Normal	Disease	OK	8.59765	29.3173	1.76974	9.84534	5e-05	7.96728e-05	yes
XLOC_001028	XLOC_001028	PPP2R5A	chr1:212458878-212535205	Normal	Disease	OK	22.413	25.9836	0.213265	3.27217	5e-05	7.96728e-05	yes
XLOC_001030	XLOC_001030	NENF	chr1:212606228-212619721	Normal	Disease	OK	90.3532	181.552	1.00674	18.3355	5e-05	7.96728e-05	yes
XLOC_001031	XLOC_001031	ATF3	chr1:212738675-212794119	Normal	Disease	OK	111.631	301.514	1.43348	43.5663	5e-05	7.96728e-05	yes
XLOC_001033	XLOC_001033	TATDN3	chr1:212965169-212990167	Normal	Disease	OK	3.97269	6.06592	0.610608	4.09715	5e-05	7.96728e-05	yes
XLOC_001034	XLOC_001034	FLVCR1	chr1:213031596-213072705	Normal	Disease	OK	3.79501	8.49633	1.16274	12.878	5e-05	7.96728e-05	yes
XLOC_001043	XLOC_001043	SPATA17	chr1:217804694-218040484	Normal	Disease	OK	1.1205	2.36382	1.07698	2.71674	0.001	0.00144895	yes
XLOC_001044	XLOC_001044	RRP15	chr1:218458628-218511325	Normal	Disease	OK	1.84548	3.25662	0.81938	6.92739	5e-05	7.96728e-05	yes
XLOC_001046	XLOC_001046	LYPLAL1	chr1:219347191-219386207	Normal	Disease	OK	10.9277	17.1274	0.64831	6.22901	5e-05	7.96728e-05	yes
XLOC_001053	XLOC_001053	HLX	chr1:221052742-221058400	Normal	Disease	OK	2.57463	7.2521	1.49403	8.47377	5e-05	7.96728e-05	yes
XLOC_001054	XLOC_001054	MIA3	chr1:222791443-222841351	Normal	Disease	OK	20.2507	30.4028	0.586234	16.4983	5e-05	7.96728e-05	yes
XLOC_001059	XLOC_001059	CAPN2	chr1:223889294-223963720	Normal	Disease	OK	41.7982	65.096	0.639127	15.0098	5e-05	7.96728e-05	yes
XLOC_001063	XLOC_001063	CNIH3	chr1:224804178-224928249	Normal	Disease	OK	0.786838	1.13378	0.527004	1.51082	0.0352	0.0435126	yes
XLOC_001064	XLOC_001064	DNAH14	chr1:225117355-225586996	Normal	Disease	OK	1.43799	2.76871	0.945158	2.55232	0.00115	0.00165638	yes
XLOC_001065	XLOC_001065	SRP9	chr1:225965514-225978168	Normal	Disease	OK	88.5914	146.468	0.725344	15.9472	5e-05	7.96728e-05	yes
XLOC_001067	XLOC_001067	H3F3A	chr1:226250407-226259703	Normal	Disease	OK	26.9262	49.8458	0.888463	9.97196	5e-05	7.96728e-05	yes
XLOC_001071	XLOC_001071	ADCK3	chr1:227127937-227175246	Normal	Disease	OK	26.9199	32.5844	0.275507	5.01746	5e-05	7.96728e-05	yes
XLOC_001072	XLOC_001072	ZNF678	chr1:227751219-227850164	Normal	Disease	OK	0.853188	1.0318	0.274233	1.53299	0.0272	0.0340878	yes
XLOC_001079	XLOC_001079	GUK1	chr1:228327784-228336655	Normal	Disease	OK	97.1425	148.631	0.613562	11.6607	5e-05	7.96728e-05	yes
XLOC_001081	XLOC_001081	IBA57	chr1:228353428-228369958	Normal	Disease	OK	1.63173	3.40478	1.06116	8.80083	5e-05	7.96728e-05	yes
XLOC_001083	XLOC_001083	HIST3H2BB	chr1:228645807-228646259	Normal	Disease	OK	0.675065	4.24895	2.65401	2.60676	0.00655	0.0087665	yes
XLOC_001085	XLOC_001085	RNF187	chr1:228675067-228683889	Normal	Disease	OK	40.3916	49.6136	0.296682	6.89815	5e-05	7.96728e-05	yes
XLOC_001086	XLOC_001086	DUSP5P,RHOU	chr1:228780393-228882416	Normal	Disease	OK	20.936	31.539	0.591149	10.9995	5e-05	7.96728e-05	yes
XLOC_001092	XLOC_001092	ARV1	chr1:231114822-231136479	Normal	Disease	OK	16.1649	18.9762	0.231332	2.19066	0.00175	0.00248003	yes
XLOC_002322	XLOC_002322	TAF3	chr10:7860672-8056714	Normal	Disease	OK	11.9439	25.2349	1.07914	14.1178	5e-05	7.96728e-05	yes
XLOC_002327	XLOC_002327	DHTKD1	chr10:12110933-12165224	Normal	Disease	OK	22.4929	24.5939	0.128829	2.8363	5e-05	7.96728e-05	yes
XLOC_002328	XLOC_002328	SEC61A2	chr10:12171639-12292589	Normal	Disease	OK	3.13144	7.4652	1.25335	7.63352	5e-05	7.96728e-05	yes
XLOC_002329	XLOC_002329	CDC123	chr10:12171639-12292589	Normal	Disease	OK	29.3693	33.0222	0.169126	2.14364	0.0016	0.00227465	yes
XLOC_002332	XLOC_002332	LOC283070	chr10:12875132-12877545	Normal	Disease	OK	8.90256	14.2316	0.676807	6.73746	5e-05	7.96728e-05	yes
XLOC_002335	XLOC_002335	PRPF18	chr10:13628938-13672868	Normal	Disease	OK	7.0289	11.2258	0.675452	4.90299	5e-05	7.96728e-05	yes
XLOC_002341	XLOC_002341	RPP38	chr10:15137383-15146256	Normal	Disease	OK	13.9699	21.2821	0.607317	5.12504	5e-05	7.96728e-05	yes
XLOC_002344	XLOC_002344	LOC100128098	chr10:17362675-17496254	Normal	Disease	OK	7.15814	31.8525	2.15375	8.9476	5e-05	7.96728e-05	yes
XLOC_002350	XLOC_002350	MRC1	chr10:18098351-18200091	Normal	Disease	OK	0.290748	0.692865	1.25281	3.53132	5e-05	7.96728e-05	yes
XLOC_002353	XLOC_002353	CACNB2	chr10:18429605-18830688	Normal	Disease	OK	3.08779	4.86069	0.654583	4.9244	5e-05	7.96728e-05	yes
XLOC_002357	XLOC_002357	LOC100128511	chr10:21068902-21463852	Normal	Disease	OK	1.37154	2.98427	1.12158	1.70256	0.02615	0.0328394	yes
XLOC_002363	XLOC_002363	MSRB2	chr10:23384426-23410942	Normal	Disease	OK	24.586	36.1481	0.556086	7.73303	5e-05	7.96728e-05	yes
XLOC_002367	XLOC_002367	PRINS	chr10:23983674-24836772	Normal	Disease	OK	1.35372	13.0672	3.27095	14.4392	5e-05	7.96728e-05	yes
XLOC_002370	XLOC_002370	GPR158	chr10:25447000-25891157	Normal	Disease	OK	0.601552	4.41562	2.87585	14.9572	5e-05	7.96728e-05	yes
XLOC_002378	XLOC_002378	RAB18	chr10:27793102-27831166	Normal	Disease	OK	15.7301	21.4854	0.449826	7.96039	5e-05	7.96728e-05	yes
XLOC_002379	XLOC_002379	WAC	chr10:28821421-28912041	Normal	Disease	OK	39.1501	40.8255	0.0604571	1.6148	0.0113	0.0147559	yes
XLOC_002380	XLOC_002380	BAMBI	chr10:28966423-28971868	Normal	Disease	OK	20.356	48.6464	1.25688	16.8366	5e-05	7.96728e-05	yes
XLOC_002384	XLOC_002384	ZEB1	chr10:31608100-31818742	Normal	Disease	OK	7.84604	12.4671	0.668094	9.69048	5e-05	7.96728e-05	yes
XLOC_002385	XLOC_002385	C10orf68,CCDC7	chr10:32735040-33171792	Normal	Disease	OK	0.351624	1.29689	1.88295	4.05522	5e-05	7.96728e-05	yes
XLOC_002386	XLOC_002386	CREM	chr10:35415768-35501886	Normal	Disease	OK	24.5289	37.4832	0.61176	8.51369	5e-05	7.96728e-05	yes
XLOC_002390	XLOC_002390	ZNF33A	chr10:38299577-38348995	Normal	Disease	OK	10.2283	18.9425	0.889063	15.3959	5e-05	7.96728e-05	yes
XLOC_002391	XLOC_002391	ZNF37A	chr10:38383263-38412278	Normal	Disease	OK	5.08717	15.2637	1.58517	21.6082	5e-05	7.96728e-05	yes
XLOC_002393	XLOC_002393	HSD17B7P2	chr10:38645307-38667433	Normal	Disease	OK	1.63769	2.65897	0.699208	2.1822	0.0035	0.00481329	yes
XLOC_002397	XLOC_002397	BMS1	chr10:43277953-43330385	Normal	Disease	OK	6.25184	7.91674	0.340625	5.08211	5e-05	7.96728e-05	yes
